id,name,has_fb,has_ig,lat,lng,is_vet,is_suscribed
0,Chang-Fisher,0,1,-2.90055,-79.00453,0,0
1,Faulkner-Howard,1,0,-2.13404,-79.59415,1,0
2,Taylor-Davis,0,0,-2.13404,-79.59415,0,0
3,Garcia-Jones,1,0,-2.13404,-79.59415,0,0
4,Hamilton-Carr,0,0,-2.90055,-79.00453,0,0
5,Grimes-Green,0,0,-2.13404,-79.59415,1,1
6,Cortez Group,0,0,-2.13404,-79.59415,0,0
7,"Snyder, Dillon and Sanchez",0,1,-2.13404,-79.59415,0,0
8,"Walker, Pratt and Thomas",1,0,-2.90055,-79.00453,1,0
9,"Bolton, Burns and Turner",1,1,-2.90055,-79.00453,1,1
10,"Harris, Lloyd and Payne",1,1,-2.90055,-79.00453,1,0
11,Johnston-Roberts,1,1,-2.90055,-79.00453,0,0
12,Jones-Shelton,1,1,-2.13404,-79.59415,1,1
13,Villanueva PLC,0,0,-2.90055,-79.00453,1,1
14,"Cain, Atkinson and Jacobson",0,0,-2.90055,-79.00453,1,1
15,Vasquez-Davidson,0,0,-2.90055,-79.00453,0,0
16,Nguyen Inc,0,1,-2.13404,-79.59415,0,1
17,Smith LLC,1,1,-2.13404,-79.59415,0,1
18,Simmons-Brown,0,0,-2.13404,-79.59415,0,0
19,Montoya Ltd,0,0,-2.13404,-79.59415,0,1
20,Martinez and Sons,0,0,-2.90055,-79.00453,0,0
21,Wood Inc,1,1,-2.13404,-79.59415,0,1
22,"Martinez, Clark and Owen",1,0,-2.90055,-79.00453,1,1
23,"Garcia, Green and Walker",1,0,-2.13404,-79.59415,0,0
24,Gordon Inc,0,0,-2.90055,-79.00453,0,1
25,Green Ltd,0,1,-2.13404,-79.59415,0,0
26,"Chambers, Levy and Brown",0,0,-2.90055,-79.00453,0,1
27,"King, Carlson and Ramos",1,1,-2.90055,-79.00453,1,1
28,"Golden, Lowery and Banks",0,1,-2.13404,-79.59415,0,1
29,"Vazquez, Ellis and Miller",0,0,-2.13404,-79.59415,1,1
30,Gill Group,1,1,-2.90055,-79.00453,0,0
