code	producer_product_id	lc	product_name_de	product_name_en	product_name_es	product_name_fr	product_name_id	product_name_it	product_name_nl	product_name_pl	product_name_pt	product_name_so	product_name_sv	generic_name_en	generic_name_es	generic_name_fr	generic_name_nl	generic_name_pl	generic_name_pt	generic_name_sv	quantity	serving_size	packaging	packaging_tags	packaging_text_en	brands	brands_tags	brand_owner	categories	categories_tags	labels	labels_tags	countries	countries_tags	stores	stores_tags	obsolete	obsolete_since_date	origins	origins_tags	manufacturing_places	manufacturing_places_tags	producer_es	producer_fr	producer_nl	emb_codes	emb_codes_tags	ingredients_text_de	ingredients_text_en	ingredients_text_es	ingredients_text_fr	ingredients_text_id	ingredients_text_it	ingredients_text_nl	ingredients_text_pl	ingredients_text_so	ingredients_text_sv	allergens	allergens_tags	traces	traces_tags	no_nutrition_data	nutrition_data_per	nutrition_data_prepared_per	energy-kj_value	energy-kj_unit	energy-kcal_value	energy-kcal_unit	fat_value	fat_unit	saturated-fat_value	saturated-fat_unit	carbohydrates_value	carbohydrates_unit	sugars_value	sugars_unit	fiber_value	fiber_unit	proteins_value	proteins_unit	salt_value	salt_unit	sodium_value	sodium_unit	alcohol_value	alcohol_unit	energy_value	energy_unit	monounsaturated-fat_value	monounsaturated-fat_unit	polyunsaturated-fat_value	polyunsaturated-fat_unit	trans-fat_value	trans-fat_unit	cholesterol_value	cholesterol_unit	starch_value	starch_unit	vitamin-a_value	vitamin-a_unit	vitamin-d_value	vitamin-d_unit	vitamin-e_value	vitamin-e_unit	vitamin-c_value	vitamin-c_unit	vitamin-b2_value	vitamin-b2_unit	vitamin-pp_value	vitamin-pp_unit	potassium_value	potassium_unit	calcium_value	calcium_unit	iron_value	iron_unit	conservation_conditions_es	conservation_conditions_fr	conservation_conditions_nl	preparation_es	preparation_fr	preparation_nl	customer_service_es	customer_service_fr	customer_service_nl	link	off:food_groups	off:food_groups_tags	off:nova_groups	off:nova_groups_tags	off:nutriscore_grade	off:nutriscore_score	off:ecoscore_grade	off:ecoscore_score	off:ecoscore_data.missing_key_data	off:ecoscore_data.agribalyse.code	off:ecoscore_data.adjustments.origins_of_ingredients.value	off:ecoscore_data.adjustments.packaging.value	off:ecoscore_data.adjustments.packaging.non_recyclable_and_non_biodegradable_materials	off:ecoscore_data.adjustments.production_system.value	off:ecoscore_data.adjustments.threatened_species.value	sources_fields:org-database-usda:available_date	sources_fields:org-database-usda:fdc_category	sources_fields:org-database-usda:fdc_data_source	sources_fields:org-database-usda:fdc_id	sources_fields:org-database-usda:modified_date	sources_fields:org-database-usda:publication_date	data_sources
3252971762211		fr				4KG Pates / Croquette Bleu															4 kg								Non alimentaire, Open Pet Food Facts	en:non-food-products,en:open-pet-food-facts			France	en:france			0																										100g	100g			0	kcal			0	g			0	g											0	kcal																																										not-applicable			unknown		1		-5	-15	1	0								App - yuka, Apps
3560070016143		fr				Croquette adult Riche en poulet semimolle																				Carrefour	carrefour		Non alimentaire, Open Pet Food Facts	en:non-food-products,en:open-pet-food-facts			France	en:france	Carrefour	carrefour	0																										100g	100g			20	kcal	11	g	0	g	0	g	0	g			20	g	0	g	0	g			20	kcal																																										not-applicable			unknown		1		-5	-15	1	0								App - yuka, Apps, Producer - Carrefour, Producers
3182550848442		fr				Croquettes																							Non alimentaire, Open Pet Food Facts	en:non-food-products,en:open-pet-food-facts			France	en:france			0																										100g	100g							0	g			0	g																																																						not-applicable			unknown		1		-5	-15	1	0								App - yuka, Apps
8714265970689		fr				Croquette Chien Sensitive Riz Poulet 2KG																							Non alimentaire, Open Pet Food Facts	en:non-food-products,en:open-pet-food-facts			France	en:france			0																										100g	100g																																																																		not-applicable			unknown		1		-5	-15	1	0								App - yuka, Apps
3010470181137		fr				Friskie Croquette Poulet																							Non alimentaire, Open Pet Food Facts	en:non-food-products,en:open-pet-food-facts			France	en:france			0																										100g	100g																	0	g	0	g																																														not-applicable			unknown		1		-5	-15	1	0								App - yuka, Apps
3222474717148		fr				Croquette Thon / Saumon Chat 2KG Co																				Casino	casino		Non alimentaire, Open Pet Food Facts	en:non-food-products,en:open-pet-food-facts			France	en:france			0																										100g	100g																	0	g	0	g																																														not-applicable			unknown		1		-5	-15	1	0								App - yuka, Apps
3256225979301		fr				Croquette de chat																							Non alimentaire, Open Pet Food Facts	en:non-food-products,en:open-pet-food-facts			France	en:france			0																										100g	100g							0	g			0	g																																																						not-applicable			unknown		1		-5	-15	1	0								App - yuka, Apps
0052742009544		fr				Croquette																							Non alimentaire, Open Pet Food Facts	en:non-food-products,en:open-pet-food-facts			France	en:france			0																										100g	100g							0	g			0	g																																																						not-applicable			unknown		1		-5	-15	1	0								App - yuka, Apps
3700260209089		fr																			croquettes chien allégé		Papier argente	fr:papier-argente		ultima	ultima		Non alimentaire, Open Pet Food Facts	en:non-food-products,en:open-pet-food-facts			France	en:france			0		Inconnu	en:unknown	france	france				3700260209089	3700260209089																100g	100g																																																																		not-applicable			unknown				-5	-1	0	0								App - yuka, Apps, App - El CoCo, App - Open Food Facts
3700260213208		fr				1.5KG Croquettes Selection Excel Rolls Crabe Brekkies																							Non alimentaire, Open Pet Food Facts	en:non-food-products,en:open-pet-food-facts			France	en:france			0																										100g	100g			31	kcal	12	g	1	g	2.5	g	1	g			12	g	3	g	1.2	g			31	kcal																																										not-applicable			unknown		1		-5	-15	1	0								App - yuka, Apps
4008429086670		fr				Frolic croquette																							Non alimentaire, Open Pet Food Facts	en:non-food-products,en:open-pet-food-facts			France	en:france			0																										100g	100g																																																																		not-applicable			unknown		1		-5	-15	1	0								
4047777173816		fr				Wilderness croquette chien																							Non alimentaire, Open Pet Food Facts	en:non-food-products,en:open-pet-food-facts			France	en:france			0																										100g	100g			0	kcal	18	g	0	g	19.2	g	0	g	0	g	32	g	0.275	g	0.11	g			0	kcal																																										not-applicable			unknown		1		-5	-15	1	0								App - Yuka, Apps
8034105420618		it						pet food																									Italia	en:italy			0																										100g	100g																																																																		unknown			unknown		1		-5	-15	1	0								App - Yuka, Apps
3700971800131		fr																											Non alimentaire, Open Pet Food Facts	en:non-food-products,en:open-pet-food-facts	Sans colorants	en:no-colorings	France	en:france			0																										100g	100g																																																																		not-applicable			unknown		1		-5	-15	1	0								App - smoothie-openfoodfacts, Apps
5010708700435		en		Turkey natural pet food																													United Kingdom	en:united-kingdom			0																										100g	100g																																																																		unknown			unknown		1		-5	-15	1	0								App - Yuka, Apps
3082550723728		id					Royal Canin X small														1.5kg								en:Non food products, en:Open Pet Food Facts	en:non-food-products,en:open-pet-food-facts			Indonesia	en:indonesia			0																										100g	100g																																																																		not-applicable			unknown		1		-5	-15	1	0								
8850125072992		id					Friskes Meaty Grills														1.2kg								en:Non food products, en:Open Pet Food Facts	en:non-food-products,en:open-pet-food-facts			Indonesia	en:indonesia			0																										100g	100g																																																																		not-applicable			unknown		1		-5	-15	1	0								
3182550893916		id					RoyalCanin Dermaconfort														3Kg								en:Non food products, en:Open Pet Food Facts	en:non-food-products,en:open-pet-food-facts			Indonesia	en:indonesia			0															Mini up to 10kg											100g	100g																																																																		not-applicable			unknown		1		-5	-15	1	0								
3182550708197		id					RoyalCanin Medium														4Kg								en:Non food products, en:Open Pet Food Facts	en:non-food-products,en:open-pet-food-facts			Indonesia	en:indonesia			0															All medium dogs froom 11-25kg											100g	100g																																																																		not-applicable			unknown		1		-5	-15	1	0								
3182550721219		id					RoyalCanin Kitten Persian														2kg								en:Non food products, en:Open Pet Food Facts	en:non-food-products,en:open-pet-food-facts			Indonesia	en:indonesia			0																										100g	100g																																																																		not-applicable			unknown		1		-5	-15	1	0								
3182550751995		id					RoyalCanin Digestive														2kg								en:Non food products, en:Open Pet Food Facts	en:non-food-products,en:open-pet-food-facts			Indonesia	en:indonesia			0																										100g	100g																																																																		not-applicable			unknown		1		-5	-15	1	0								
3336025822202		fr				Croquette Chaton																							Non alimentaire, Open Pet Food Facts, Nourriture pour animaux, Nourriture pour chats, Nourriture sèche pour animaux, Croquettes pour chat	en:non-food-products,en:open-pet-food-facts,en:pet-food,en:cat-food,en:dry-pet-food,en:dry-cat-food	Sans colorants	en:no-colorings	France	en:france			0																										100g	100g																																																																		not-applicable			unknown		1		-5	-15	1	0								App - Yuka, Apps
4008429090158		fr				Adult 1+ Chats stérilisés, riche en saumon										Aliment sec complet pour chats adultes					1,4 kg		Plastique	en:plastic		Perfect Fit	perfect-fit		Non alimentaire, Open Pet Food Facts, Nourriture pour animaux, Nourriture pour chats, Nourriture sèche pour animaux, Croquettes pour chat	en:non-food-products,en:open-pet-food-facts,en:pet-food,en:cat-food,en:dry-pet-food,en:dry-cat-food	Sans colorants artificiels	en:no-artificial-colors	France	en:france	Leclerc	leclerc	0		France	en:france											Protéines de volaille déshydratées, blé, saumon (14%), protéines de cretons, protéines de soja, huiles et graisses (dont huile de tournesol 0,4%), farine de maïs, farine de soja, substances minérales, protéines de céréales déshydratées, hydrolysat de foie, cellulose, algues déshydratées.							Poisson, Gluten, Soja	en:fish,en:gluten,en:soybeans				100g	100g					14.5	g									39	g																																																		not-applicable			unknown				4	-10	1	0								App - Open Food Facts, Apps, App - smoothie-openfoodfacts
5010394984584		fr				Dentastix, 80% réduction du tartre, chien plus de 10kg																							Non alimentaire, Open Pet Food Facts	en:non-food-products,en:open-pet-food-facts			France	en:france			0																										100g	100g			5	kcal	6	g	3	g	3	g	0	g	8	g	9	g	7	g	2.8	g			5	kcal																																										not-applicable			unknown		1		-5	-15	1	0								App - Yuka, Apps
6151100031389		en		nestle																	150cl		Plastic	en:plastic		Nestle	nestle		Non food products, Open Pet Food Facts, Pet food, Wet pet food	en:non-food-products,en:open-pet-food-facts,en:pet-food,en:wet-pet-food			Nigeria	en:nigeria			0																										100g	100g																																																																		not-applicable			unknown				-5	-10	1	0								App - Open Food Facts, Apps
5410340614037		fr				Graines de lapin																							Non alimentaire, Open Pet Food Facts	en:non-food-products,en:open-pet-food-facts	Point Vert	en:green-dot	France	en:france			0																										100g	100g			0	kcal	0	g	0	g	0	g	0	g	16.5	g	14.5	g	0	g	0	g			0	kcal																																										not-applicable			unknown		1		-5	-15	1	0								App - Yuka, Apps
5410340613061		en																											Non food products, Open Pet Food Facts	en:non-food-products,en:open-pet-food-facts			France	en:france			0																										100g	100g																																																																		not-applicable			unknown		1		-5	-15	1	0								
5410340612514		fr				Versele Laga - Complete Cavia																							Non alimentaire, Open Pet Food Facts	en:non-food-products,en:open-pet-food-facts			France	en:france			0																										100g	100g			100	kcal	3	g	1	g	22	g	0	g			14	g	0	g	0	g			100	kcal																																										not-applicable			unknown		1		-5	-15	1	0								App - yuka, Apps
5410340614181		fr				Nourriture pour hamster																							Non alimentaire, Open Pet Food Facts	en:non-food-products,en:open-pet-food-facts			France	en:france			0																										100g	100g																																																																		not-applicable			unknown		1		-5	-15	1	0								App - yuka, Apps
8714265071362		en		Yarrah Bio chunks with chicken																	405g		Can	en:can		Yarrah	yarrah		Non food products, Open Pet Food Facts, Pet food, Cat food, Wet pet food, Wet cat food	en:non-food-products,en:open-pet-food-facts,en:pet-food,en:cat-food,en:wet-pet-food,en:wet-cat-food	Organic, EU Organic, NL-BIO-01, AB Agriculture Biologique, Beter leven, Skal 1301	en:organic,en:eu-organic,en:nl-bio-01,fr:ab-agriculture-biologique,en:beter-leven,en:skal-1301	Netherlands	en:netherlands			0												35% meat* and animal derivatives* (chicken* 31%), cereals* (wheat* 6%), minerals, sources, Skal 1301.									Gluten	en:gluten				100g	100g																																																																		not-applicable			unknown				-5	-10	0	15								App - Yuka, Apps, App - Open Food Facts
8001154125603		en		Daily with chicken																	400g		Can	en:can		Almo Nature	almo-nature		Non food products, Open Pet Food Facts, Pet food, Cat food, Wet pet food, Wet cat food	en:non-food-products,en:open-pet-food-facts,en:pet-food,en:cat-food,en:wet-pet-food,en:wet-cat-food			Netherlands	en:netherlands			0												Meat and animal derivatives (of which 4 chicken 4%), eggs and egg derivatives, minerals, vegetal m fiber extract. Additives - nutritional additives: Vitamin A n 1415 IU/kg, Vitamin D3 150 IU/kg, Vitamin E 19 mg/kg, V copper (II) sulphate pentahydrate 3,2 mg/kg (Cu 0,8 mg/kg).m Analytical Constituents: crude protein 7,5%, crude fibre b 0,1%, crude fat 5,5%, crude ash 3%, moisture 81,5%.									Eggs	en:eggs			on	100g	100g																																																																		not-applicable			unknown				-5	-10	0	0								App - Open Food Facts, Apps
0750826005580		en		Berry Nibblots for small animals pet food																	30 g												Ireland	en:ireland			0																										100g	100g			2.8	kcal	20	g	6.8	g	13.7	g	11.6	g	3.3	g	12.1	g	1	g	0.4	g			2.8	kcal																																										unknown			unknown		1		-5	-15	1	0								App - Yuka, Apps
20665654		en	Coshida saftige Leckerbissen In Gelee	Coshida saftige Leckerbissen In Gelee																	1.2 kg								Non food products, Open Pet Food Facts, Pet food	en:non-food-products,en:open-pet-food-facts,en:pet-food			Canada	en:canada			0																										100g	100g																																																																					unknown		1		-5	-15	1	0								
3222270502450		es			Gold mousse																8 x 85 g					Purina	purina		Productos no alimenticios, Open Pet Food Facts, Comida para mascotas, Comida para gatos	en:non-food-products,en:open-pet-food-facts,en:pet-food,en:cat-food			España	en:spain			0																										100g	100g			10	kcal	2	g	1	g	2	g	0	g	0	g	26	g	0	g	0	g			10	kcal																																										not-applicable			unknown		1		-5	-15	1	0								App - yuka, Apps, App - El CoCo
8480010168136		es			Alimento de gatos, paté con salmón y trucha																100 g					Eroski	eroski		Productos no alimenticios, Open Pet Food Facts, Comida para mascotas, Comida para gatos	en:non-food-products,en:open-pet-food-facts,en:pet-food,en:cat-food	Punto Verde, Sin colorantes	en:green-dot,en:no-colorings	España	en:spain	Eroski	eroski	0																										100g	100g			0	kcal	1	g	0	g	100	g	0	g	25	g	3	g							0	kcal																																										not-applicable			unknown		1		-5	-15	1	0								App - yuka, Apps
8480012004517		es			Alimento para gatos, paté con salmón																100 g					Amigo	amigo		Productos no alimenticios, Open Pet Food Facts, Comida para mascotas, Comida para gatos	en:non-food-products,en:open-pet-food-facts,en:pet-food,en:cat-food	Sin colorantes	en:no-colorings	España	en:spain			0																										100g	100g																																																																		not-applicable			unknown		1		-5	-15	1	0								App - yuka, Apps
3564700142981		fr				Croquettes																							Non alimentaire, Open Pet Food Facts	en:non-food-products,en:open-pet-food-facts			France	en:france			0																										100g	100g			120	kcal	4	g	0.5	g	0.5	g	0.5	g	0.5	g	0.5	g	0.3125	g	0.125	g			120	kcal																																										not-applicable			unknown		1		-5	-15	1	0								App - Yuka, Apps
8010276040169		it						Farmina Pet foods N&D quinoa																									Italia	en:italy			0																										100g	100g																																																																		unknown			unknown		1		-5	-15	1	0								App - Yuka, Apps
3760080533412		fr				Chat mature + de 7 ans																							Non alimentaire, Open Pet Food Facts	en:non-food-products,en:open-pet-food-facts	Sans additifs, Sans colorants	en:no-additives,en:no-colorings	France	en:france			0																										100g	100g																																																																		not-applicable			unknown		1		-5	-15	1	0								App - Yuka, Apps
5000161021703		fr				Purina one poulet adulte																							Non alimentaire, Open Pet Food Facts, Nourriture pour animaux, Nourriture pour chats	en:non-food-products,en:open-pet-food-facts,en:pet-food,en:cat-food	Sans colorants	en:no-colorings	France	en:france			0																										100g	100g																																																																		not-applicable			unknown		1		-5	-15	1	0								App - yuka, Apps
3564700835708		fr				Boisson lactée chats stérilisés																							Non alimentaire, Open Pet Food Facts	en:non-food-products,en:open-pet-food-facts			France	en:france			0																										100g	100g																																																																		not-applicable			unknown		1		-5	-15	1	0								App - Yuka, Apps
3256228421593		fr				Croquettes au saumon ASC & aux légumes																				U	u		Non alimentaire, Open Pet Food Facts, Nourriture pour animaux, Nourriture pour chats	en:non-food-products,en:open-pet-food-facts,en:pet-food,en:cat-food	Sans colorants	en:no-colorings	France	en:france			0																										100g	100g																																																																		not-applicable			unknown		1		-5	-15	1	0								App - Yuka, Apps
8000066444505		en		Minestra di Vegatali																	100		Mara	en:mara		Mara	mara		Non food products, Open Pet Food Facts, Pet food, Wet pet food, Dog food, Wet dog food	en:non-food-products,en:open-pet-food-facts,en:pet-food,en:wet-pet-food,en:dog-food,en:wet-dog-food	Quality food from hungary	en:quality-food-from-hungary	United Arab Emirates	en:united-arab-emirates			0																										100g	100g			42	kcal	0.2	g	0	g	5.8	g	0	g	3.5	g	2.4	g	1	g	0.4	g			42	kcal																																										not-applicable			unknown		1		-5	-15	1	0								App - Open Food Facts, Apps, App - Yuka
4047459007323		de	Bio Ente																		800g		Metall, Dose	en:metal,en:can		Herrmann's	herrmann-s		Non-Food-Produkte, en:Open Pet Food Facts, Tierfutter, Katzenfutter, Nassfutter, Katzennassfutter	en:non-food-products,en:open-pet-food-facts,en:pet-food,en:cat-food,en:wet-pet-food,en:wet-cat-food	"Bio, EU-Öko-Verordnung, EG-Öko-Verordnung"	en:organic,en:eu-organic,en:eg-oko-verordnung	Niederlande	en:netherlands			0											Composition: 100 % organic duck (90% cru breast meat, 5% neck, 5 % carcass), cooked in their 15 own juice.															100g	100g																																																																					unknown		1		-5	-15	1	15								App - Open Food Facts, Apps
0055800249500		en		One Smart Blend Lamb & Rice Formula																	1.81 KG								Non food products, Open Pet Food Facts, Pet food	en:non-food-products,en:open-pet-food-facts,en:pet-food			Canada	en:canada			0																										100g	100g																																																																					unknown		1		-5	-15	1	0								
0056366105712		en		Cat Food - Chicken & Seafood Combo																	12								Non food products, Open Pet Food Facts, Pet food	en:non-food-products,en:open-pet-food-facts,en:pet-food			Canada	en:canada			0																										100g	100g																																																																					unknown		1		-5	-15	1	0								
0064992181123		fr				Puppy large																							Non alimentaire, Open Pet Food Facts	en:non-food-products,en:open-pet-food-facts			France	en:france			0																										100g	100g			372	kcal	16	g	0	g	0	g	0	g			38	g	0	g	0	g			372	kcal																																													unknown		1		-5	-15	1	0								App - yuka, Apps
3256228550729		fr				Biscuit fourrés															500g	5g	Carton 5	fr:carton-5		U	u		Non alimentaire, Open Pet Food Facts, Nourriture pour animaux, Nourriture sèche pour animaux, Nourriture pour chiens, Croquettes pour chien	en:non-food-products,en:open-pet-food-facts,en:pet-food,en:dry-pet-food,en:dog-food,en:dry-dog-food			France	en:france			0																									off	100g	100g			9	kcal	8	g	5.5	g	12	g	8.5	g	6	g	10	g	10	g	4	g			9	kcal																																													unknown				-5	-1	0	0								App - yuka, Apps, App - Open Food Facts
0073657009290		en		Classic Crafted Meals																									Non food products, Open Pet Food Facts, Pet food, Dog food	en:non-food-products,en:open-pet-food-facts,en:pet-food,en:dog-food			United States	en:united-states			0																										100g	100g																																																																		not-applicable			unknown				-5	-15	1	0								App - Yuka, Apps
5060122492072		en		Chicken breast with wild rice																	70 g		Plastic	en:plastic		Applaws	applaws		Meats, Non food products, Open Pet Food Facts, Poultries, Chickens, Pet food, Cat food, Wet pet food, Wet cat food	en:meats,en:non-food-products,en:open-pet-food-facts,en:poultries,en:chickens,en:pet-food,en:cat-food,en:wet-pet-food,en:wet-cat-food	100% natural	en:100-natural					0												chicken breast 75%, Chicen Broth, Wild Rice 2%														100g	100g																																																															en:poultry	en:fish-meat-eggs,en:meat,en:poultry					d	29		36016	-5	-10	1	0								App - Open Food Facts, Apps
3258561280929		fr				Croq. Chat 2 KG PLT / BF B. F																							Non alimentaire, Open Pet Food Facts	en:non-food-products,en:open-pet-food-facts			France	en:france			0																										100g	100g																																																																					unknown				-5	-15	1	0								App - yuka, Apps
